Unnamed: 0,Elo Rank,Player,Age,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Peak Elo,Peak Month,ATP Rank,Log diff
190,191,Rei Sakamoto,19.5,1580.0,176,1544.8,277,1431.2,199,1490.0,1656.2,2025-07,202.0,-0.06
191,192,Federico Coria,33.4,1580.0,248,1470.7,164,1558.5,352,1391.7,1754.4,2021-07,267.0,-0.33
192,193,Daniil Glinka,25.6,1577.3,172,1549.4,178,1538.6,148,1538.6,1607.4,2025-11,199.0,-0.03
193,194,Martin Damm,22.0,1574.4,170,1553.4,366,1354.5,101,1595.3,1767.9,1999-11,177.0,0.09
194,195,Maximilian Marterer,30.1,1574.4,187,1525.5,160,1563.9,183,1507.9,1815.1,2018-06,742.0,-1.34
195,196,Felipe Meligeni Alves,27.3,1574.0,249,1470.2,157,1569.8,143,1545.5,1695.3,2023-10,225.0,-0.14
196,197,Daniel Merida Aguilar,21.1,1570.8,220,1499.7,174,1544.1,205,1485.4,1669.8,2025-09,164.0,0.18
197,198,Chun Hsin Tseng,24.2,1567.4,212,1505.2,152,1581.7,314,1411.9,1715.6,2022-04,122.0,0.48
198,199,Ilya Ivashka,31.4,1566.9,184,1528.7,144,1591.9,158,1530.9,1922.5,2021-09,791.0,-1.38
199,200,Tristan Schoolkate,24.8,1564.0,193,1520.2,376,1345.0,126,1567.8,1703.1,2025-07,97.0,0.72
200,201,Constant Lestienne,33.1,1563.6,179,1534.7,274,1433.6,247,1457.5,1781.3,2023-01,404.0,-0.7
201,202,August Holmgren,27.4,1563.1,209,1507.7,287,1421.3,79,1621.8,1677.9,2021-09,191.0,0.06
202,203,Arthur Gea,21.0,1562.8,182,1533.1,229,1482.9,210,1481.4,1562.8,2026-01,197.0,0.03
203,204,Mikhail Kukushkin,38.0,1562.7,189,1524.2,181,1534.3,149,1538.6,1864.2,2010-10,293.0,-0.36
204,205,Facundo Diaz Acosta,25.0,1560.7,237,1483.7,162,1561.8,310,1416.3,1791.9,2024-02,243.0,-0.17
205,206,Pierre Hugues Herbert,34.8,1559.6,175,1544.8,216,1497.6,159,1529.8,1867.9,2019-06,157.0,0.27
206,207,Stefano Travaglia,33.8,1558.0,191,1520.9,185,1531.5,263,1446.0,1793.8,2021-02,189.0,0.09
207,208,Albert Ramos,37.7,1557.7,194,1520.0,193,1526.1,294,1424.1,1889.0,2017-04,395.0,-0.64
208,209,Colton Smith,22.8,1556.1,198,1515.7,241,1470.0,141,1546.9,1837.6,2025-06,148.0,0.35
209,210,Henrique Rocha,21.7,1555.5,186,1527.4,191,1527.3,209,1483.6,1637.6,2024-09,158.0,0.28
210,211,Liam Draxl,24.0,1555.2,195,1519.3,207,1513.3,275,1438.3,1699.6,2025-07,145.0,0.38
211,212,James Mccabe,22.5,1553.8,200,1515.4,379,1340.4,166,1526.0,1584.1,2025-03,173.0,0.2
212,213,Andrea Pellegrino,28.6,1552.4,354,1364.8,163,1558.6,343,1398.1,1644.1,2025-06,138.0,0.43
213,214,Dan Added,26.7,1551.3,190,1521.2,336,1377.9,219,1475.6,1565.5,2025-11,200.0,0.07
214,215,Jack Pinnington Jones,22.7,1551.2,239,1480.9,280,1427.2,110,1583.0,1640.9,2025-07,196.0,0.09
215,216,Thiago Monteiro,31.3,1550.8,188,1524.2,177,1539.5,240,1462.2,1748.2,2024-05,194.0,0.11
216,217,Pavel Kotov,26.9,1550.4,199,1515.5,182,1534.0,213,1479.2,1797.1,2024-05,483.0,-0.8
217,218,Sumit Nagal,28.3,1548.6,196,1518.1,187,1529.3,325,1406.8,1745.2,2019-09,279.0,-0.25
218,219,Billy Harris,30.9,1548.5,216,1504.5,285,1422.6,162,1526.6,1711.4,2024-06,121.0,0.59
219,220,Alejandro Moro Canas,24.8,1548.3,192,1520.2,210,1506.1,194,1497.5,1673.5,2024-07,242.0,-0.1
220,221,Zdenek Kolar,29.2,1547.5,254,1466.2,179,1536.8,229,1470.4,1621.1,2021-09,176.0,0.23
221,222,Bernard Tomic,33.2,1544.3,215,1504.5,253,1456.5,142,1546.8,1947.4,2015-03,184.0,0.19
222,223,Henri Squire,25.0,1543.9,250,1469.7,184,1532.6,371,1385.4,1670.0,2024-06,276.0,-0.21
223,224,Trevor Svajda,19.4,1543.6,208,1510.0,330,1381.8,226,1471.8,1625.4,2025-09,380.0,-0.53
224,225,Justin Engel,18.2,1542.3,217,1502.6,306,1401.7,189,1500.2,1607.8,2025-11,183.0,0.21
225,226,Gonzalo Bueno,21.6,1542.3,417,1307.7,194,1526.0,228,1471.2,1602.2,2025-11,214.0,0.05
226,227,Federico Agustin Gomez,28.9,1540.4,185,1528.5,231,1482.5,216,1478.2,1668.6,2024-09,190.0,0.18
227,228,Juan Carlos Prado Angelo,20.7,1539.2,301,1416.8,196,1525.2,231,1469.6,1611.6,2025-10,209.0,0.09
228,229,Clement Tabur,25.9,1538.9,197,1516.8,252,1456.7,273,1439.0,1565.2,2025-06,201.0,0.13
229,230,Moez Echargui,32.8,1536.6,206,1511.2,268,1442.6,233,1468.3,1647.0,2025-09,134.0,0.54
230,231,Yu Hsiou Hsu,26.6,1536.3,210,1506.6,310,1398.1,407,1369.6,1648.0,2023-11,220.0,0.05
231,232,Stefano Napolitano,30.6,1535.8,233,1487.6,202,1518.1,203,1486.7,1662.1,2024-05,448.0,-0.66
232,233,Dominic Stricker,23.1,1535.6,218,1500.0,222,1493.6,157,1531.3,1798.6,2021-06,357.0,-0.43
233,234,Johannus Monday,23.9,1535.0,207,1510.7,338,1377.5,306,1417.7,1556.0,2026-01,218.0,0.07
234,235,George Loffhagen,24.5,1534.3,231,1489.3,340,1377.1,258,1449.4,1649.0,2025-07,211.0,0.11
235,236,Brandon Holt,27.7,1533.1,211,1506.1,368,1351.8,186,1505.1,1725.5,2025-02,109.0,0.77
236,237,Mitchell Krueger,31.8,1532.6,229,1492.7,221,1493.9,244,1459.5,1653.6,2022-04,204.0,0.15
237,238,Elias Ymer,29.7,1530.9,221,1499.2,219,1495.8,190,1499.3,1751.8,2015-06,175.0,0.31
238,239,Alexis Galarneau,26.6,1530.2,219,1500.0,289,1417.8,207,1484.0,1631.5,2024-04,213.0,0.12
239,240,Ricardas Berankis,35.1,1529.4,230,1490.1,190,1527.5,180,1510.6,1842.4,2011-02,432.0,-0.59
240,241,Luka Pavlovic,25.6,1528.7,352,1369.7,205,1515.1,197,1492.2,1635.0,2025-07,217.0,0.1
241,242,Alexander Ritschard,31.7,1528.0,273,1454.4,167,1557.1,232,1469.4,1695.9,2024-07,513.0,-0.75
242,243,Dhakshineswar Suresh,25.7,1527.0,224,1496.8,343,1373.5,237,1463.5,1616.6,2025-10,468.0,-0.66
243,244,Oliver Tarvet,22.0,1526.2,241,1478.5,208,1513.1,102,1594.6,1735.2,2025-08,333.0,-0.31
244,245,Christopher Eubanks,29.4,1523.4,228,1493.0,290,1414.6,168,1524.2,1864.8,2023-07,285.0,-0.15
245,246,Jay Dylan Hara Friend,21.8,1523.2,213,1505.2,350,1366.4,242,1461.6,1581.8,2025-10,500.0,-0.71
246,247,Juan Pablo Varillas,30.1,1523.0,320,1401.6,206,1514.4,356,1389.6,1730.0,2021-10,253.0,-0.02
247,248,Timofey Skatov,24.9,1519.6,238,1481.2,214,1504.1,227,1471.8,1672.0,2024-07,195.0,0.24
248,249,Joel Schwaerzler,19.9,1518.3,314,1405.5,211,1504.4,245,1459.1,1621.9,2024-05,241.0,0.03
249,250,Gregoire Barrere,31.5,1517.8,226,1494.5,225,1490.7,172,1518.2,1804.5,2020-02,761.0,-1.11
250,251,Kimmer Coppejans,31.7,1516.8,253,1466.6,232,1482.3,270,1441.9,1697.0,2015-04,250.0,0.0
251,252,Thiago Seyboth Wild,25.8,1516.3,201,1515.3,215,1500.8,230,1470.3,1793.4,2024-05,216.0,0.15
252,253,Stefanos Sakellaridis,21.1,1516.1,259,1462.9,200,1520.4,182,1508.1,1590.2,2025-10,282.0,-0.11
253,254,Marc Andrea Huesler,29.3,1514.9,232,1488.7,213,1504.2,225,1472.0,1817.0,2023-02,252.0,0.01
254,255,Alibek Kachmazov,23.0,1514.6,227,1493.9,302,1408.5,241,1461.7,1637.5,2025-04,363.0,-0.35
255,256,Stefan Kozlov,27.9,1514.2,242,1477.2,238,1472.1,249,1457.0,1724.4,2022-02,280.0,-0.09
256,257,Vitaliy Sachko,28.4,1513.7,257,1463.5,230,1482.6,334,1403.6,1643.5,2023-07,166.0,0.44
257,258,Li Tu,29.4,1511.5,261,1461.6,279,1428.1,160,1528.2,1633.5,2022-10,390.0,-0.41
258,259,Norbert Gombos,35.3,1510.5,252,1467.2,209,1509.4,281,1436.7,1753.2,2020-11,315.0,-0.2
259,260,Duje Ajdukovic,24.9,1510.3,223,1497.5,223,1493.4,409,1369.1,1687.6,2024-09,331.0,-0.24
260,261,Ilia Simakin,22.0,1508.4,240,1478.8,353,1364.2,250,1454.2,1616.5,2025-05,272.0,-0.04
261,262,Hyeon Chung,29.6,1507.6,236,1484.1,180,1535.3,319,1409.7,1991.8,2018-03,423.0,-0.48
262,263,Jaime Faria,22.4,1507.6,258,1463.3,234,1477.4,176,1515.7,1692.5,2024-05,151.0,0.55
263,264,Rio Noguchi,27.0,1506.9,247,1471.0,419,1301.1,321,1408.4,1516.0,2022-10,246.0,0.07
264,265,Marco Cecchinato,33.1,1505.2,308,1412.6,227,1486.2,336,1402.9,1838.6,2018-07,230.0,0.14
265,266,Petr Brunclik,19.3,1504.9,235,1484.5,305,1404.5,252,1452.4,1538.3,2025-11,306.0,-0.14
266,267,Taro Daniel,32.7,1503.7,234,1484.7,243,1467.9,257,1449.5,1766.8,2023-04,367.0,-0.32
267,268,Matej Dodig,20.4,1501.8,265,1458.5,259,1451.3,254,1450.9,1601.7,2024-09,233.0,0.14
268,269,Beibit Zhukayev,25.2,1499.6,278,1451.3,367,1353.0,156,1531.9,1640.2,2023-11,265.0,0.01
269,270,Dane Sweeny,24.8,1498.4,244,1475.2,408,1314.4,350,1393.0,1568.3,2024-02,182.0,0.39
270,271,Alex Barrena,23.2,1496.2,402,1322.7,217,1497.3,259,1448.1,1596.1,2025-07,188.0,0.37
271,272,Nicolas Mejia,25.9,1495.3,300,1420.4,199,1520.7,260,1447.6,1536.3,2021-07,169.0,0.48
272,273,Daniel Rincon,22.7,1495.0,177,1540.8,278,1430.8,428,1357.9,1613.8,2023-09,254.0,0.07
273,274,Pedro Cachin,30.1,1494.6,322,1396.9,218,1497.1,376,1383.9,1767.7,2023-07,688.0,-0.92
274,275,James Trotter,26.2,1492.4,256,1465.4,311,1395.4,295,1424.0,1658.1,2025-01,301.0,-0.09
275,276,Tristan Boyer,24.5,1492.0,225,1494.6,249,1459.6,305,1418.4,1753.1,2025-01,181.0,0.42
